what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.ws.ui,1.1.0.v200805140300,org.eclipse.wst.ws.ui,1252427596639
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.1.v200807162242,org.eclipse.wst.command.env.ui,1252427596639
stopped,bundle,org.eclipse.wst.validation.ui,1.2.1.v200807292117,org.eclipse.wst.validation.ui,1252427596639
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.1.200.v200805221400,org.eclipse.wst.common.frameworks.ui,1252427596639
stopped,bundle,org.eclipse.wst.common.project.facet.ui,1.3.2.v200809022055,org.eclipse.wst.common.project.facet.ui,1252427596639
stopped,bundle,org.eclipse.wst.common.snippets,1.1.200.v200805140415,org.eclipse.wst.common.snippets,1252427596640
stopped,bundle,org.eclipse.wst.internet.monitor.ui,1.0.304.v200805140145,org.eclipse.wst.internet.monitor.ui,1252427596640
stopped,bundle,org.eclipse.tptp.platform.analysis.core,4.4.100.v200806050100,org.eclipse.tptp.platform.analysis.core,1252427596640
stopped,bundle,org.eclipse.tptp.platform.lta.common,4.5.0.v200806050100,org.eclipse.tptp.platform.lta.common,1252427596640
stopped,bundle,org.eclipse.tptp.platform.common.ui.trace,4.3.200.v200805290100,org.eclipse.tptp.platform.common.ui.trace,1252427596640
stopped,bundle,org.eclipse.tptp.platform.common.ui,4.4.101.v200807310709,org.eclipse.tptp.platform.common.ui,1252427596640
stopped,bundle,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.ide,1252427596659
stopped,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1252427596659
stopped,bundle,org.eclipse.tptp.platform.welcome,4.5.1.v200807310709,org.eclipse.tptp.platform.welcome,1252427596659
stopped,bundle,org.eclipse.ecf.doc,1.3.0.v20080916-1301,org.eclipse.ecf.doc,1252427596659
stopped,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1252427596659
stopped,bundle,org.eclipse.ui.intro,3.2.201.v20080702_34x,org.eclipse.ui.intro,1252427596659
stopped,bundle,org.eclipse.ecf.examples.updatesite.client,1.0.100.v20080916-1301,org.eclipse.ecf.examples.updatesite.client,1252427596659
stopped,bundle,org.eclipse.ecf.discovery.ui,2.0.0.v20080916-1301,org.eclipse.ecf.discovery.ui,1252427596659
stopped,bundle,org.eclipse.ui.views.properties.tabbed,3.4.1.M20080730-0800,org.eclipse.ui.views.properties.tabbed,1252427596659
stopped,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1252427596660
stopped,bundle,org.eclipse.update.ui,3.2.100.v20080318,org.eclipse.update.ui,1252427596660
stopped,bundle,org.eclipse.mylyn.commons.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.commons.ui,1252427596660
stopped,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1252427596660
stopped,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1252427596660
