what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.200.v200805140020,org.eclipse.jst.j2ee.jca.ui,1251324949826
stopped,bundle,org.eclipse.jst.j2ee.ui,1.1.206.v200901280857,org.eclipse.jst.j2ee.ui,1251324949826
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.0.101.v20090128,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1251324949826
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.1.3.v20090128,org.eclipse.jst.jsf.facesconfig.ui,1251324949827
stopped,bundle,org.eclipse.jst.jsf.ui,1.1.102.v20090128,org.eclipse.jst.jsf.ui,1251324949828
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.1.v20090129,org.eclipse.jst.pagedesigner.jsf.ui,1251324949828
stopped,bundle,org.eclipse.jst.pagedesigner,1.1.1.v200902051421,org.eclipse.jst.pagedesigner,1251324949829
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.1.0.v20080605,org.eclipse.jst.jsf.common.ui,1251324949830
stopped,bundle,org.eclipse.jst.jsf.core,1.1.103.v200902042324,org.eclipse.jst.jsf.core,1251324949835
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.1.102.v20090128,org.eclipse.jst.jsf.standard.tagsupport,1251324949836
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.1.0.v20080605,org.eclipse.jst.pagedesigner.jsp.core,1251324949837
stopped,bundle,org.eclipse.jst.jsf.common,1.1.4.v20090128,org.eclipse.jst.jsf.common,1251324949837
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.103.v200810081720,org.eclipse.wst.jsdt.web.support.jsp,1251324949837
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.ui,1251324949838
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.202.v200806190413,org.eclipse.jst.ws.axis2.ui,1251324949838
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.300.v200805140230,org.eclipse.jst.ws.uddiregistry,1251324949838
stopped,bundle,org.eclipse.jst.ws.ui,1.0.304.v200901271844,org.eclipse.jst.ws.ui,1251324949839
stopped,bundle,com.google.appengine.eclipse.sdkbundle,1.2.1.v200905131143,com.google.appengine.eclipse.sdkbundle,1251324949839
stopped,bundle,com.google.appengine.eclipse.core,1.0.1.v200905131143,com.google.appengine.eclipse.core,1251324949839
stopped,bundle,com.google.gdt.eclipse.core,1.0.1.v200905131143,com.google.gdt.eclipse.core,1251324949839
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1251324949839
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1251324949839
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ui,1251324949840
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1251324949859
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1251324949860
