what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.1.0.v200808260630,org.eclipse.datatools.sqltools.data.ui,1234672209156
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa,1.0.1.v200805310538,org.eclipse.datatools.enablement.sybase.asa,1234672209156
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.models,1.0.0.v200805152355,org.eclipse.datatools.enablement.sybase.asa.models,1234672209156
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase,1.0.1.v200807010411,org.eclipse.datatools.enablement.sybase.ase,1234672209156
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.models,1.0.1.v200805152355,org.eclipse.datatools.enablement.sybase.ase.models,1234672209156
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200808221518,org.eclipse.datatools.enablement.sybase.ui,1234672209156
stopped,bundle,org.eclipse.datatools.enablement.sybase,1.0.1.v200805310538,org.eclipse.datatools.enablement.sybase,1234672209156
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.0.0.v200806050000,org.eclipse.jpt.eclipselink.core,1234672209171
stopped,bundle,org.eclipse.jpt.core,2.0.101.v200809020200,org.eclipse.jpt.core,1234672209171
stopped,bundle,org.eclipse.jpt.db,1.1.2.v200809112059,org.eclipse.jpt.db,1234672209171
stopped,bundle,org.eclipse.datatools.sqltools.editor.core,1.0.0.v200808271350,org.eclipse.datatools.sqltools.editor.core,1234672209171
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.0.v200808300730,org.eclipse.datatools.sqltools.tabledataeditor,1234672209171
stopped,bundle,org.eclipse.datatools.sqltools.result,1.0.0.v200808271350,org.eclipse.datatools.sqltools.result,1234672209171
stopped,bundle,org.eclipse.rse.subsystems.files.ftp,2.1.0.v20080609,org.eclipse.rse.subsystems.files.ftp,1234672209171
stopped,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1234672209171
stopped,bundle,org.eclipse.datatools.sqltools.sql,1.0.0.v200808140615,org.eclipse.datatools.sqltools.sql,1234672209171
stopped,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1234672209171
stopped,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1234672209171
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.1.v200807010433,org.eclipse.datatools.connectivity.apache.derby.ui,1234672209171
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v200807220100,org.eclipse.datatools.enablement.hsqldb.ui,1234672209171
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.1.v200808300421,org.eclipse.datatools.connectivity.sqm.server.ui,1234672209171
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.1.v200807230727,org.eclipse.datatools.connectivity.ui.dse,1234672209171
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v200807211830,org.eclipse.datatools.sqltools.plan,1234672209171
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v200807211830,org.eclipse.datatools.sqltools.common.ui,1234672209171
stopped,bundle,org.eclipse.emf.exporter,2.4.0.v200808251517,org.eclipse.emf.exporter,1234672209171
